Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
145628.004 03 0.304
145628.085 01 0.825
145628.085 02 2.568
145628.085 03 0.304
145628.165 01 0.828
145628.165 02 2.140
145628.165 03 0.304
145628.244 01 0.828
145628.244 02 1.712
145628.244 03 0.304
145628.325 01 0.828
145628.325 02 2.140
145628.325 03 0.304
145628.405 01 0.825
145628.405 02 2.140
145628.405 03 0.304
145628.484 01 0.828
145628.484 02 2.568
145628.485 03 0.304
145628.565 01 0.828
145628.565 02 2.568
145628.565 03 0.304
145628.644 01 0.828
145628.644 02 1.712
145628.644 03 0.304
145628.724 01 0.828
145628.725 02 2.568
145628.725 03 0.304
145628.805 01 0.828
145628.805 02 2.568
145628.805 03 0.304
145628.885 01 0.828
145628.885 02 2.568
145628.885 03 0.304
145628.963 01 0.828
145628.963 02 2.996
145628.964 03 0.152
145629.045 01 0.828
145629.046 02 2.568
145629.046 03 0.304
145629.124 01 0.828
145629.125 02 2.568
145629.125 03 0.304
145629.206 01 0.828
145629.206 02 2.140
145629.206 03 0.304
145629.285 01 0.828
145629.285 02 2.996
145629.286 03 0.304
145629.365 01 0.828
145629.366 02 2.140
145629.366 03 0.304
145629.445 01 0.828
145629.445 02 1.712
145629.445 03 0.304
145629.526 01 0.828
145629.526 02 2.568
145629.526 03 0.304
145629.606 01 0.828
145629.606 02 2.568
145629.606 03 0.304
145629.686 01 0.828
145629.686 02 2.996
145629.686 03 0.304
145629.766 01 0.828
145629.767 02 2.568
145629.767 03 0.304
145629.847 01 0.828
145629.847 02 2.140
145629.847 03 0.304
145629.928 01 0.828
145629.928 02 2.996
145629.928 03 0.304
145630.008 01 0.828
145630.008 02 2.140
145630.008 03 0.304
145630.088 01 0.828
145630.088 02 2.996
145630.088 03 0.304
145630.167 01 0.828
145630.167 02 2.996
145630.167 03 0.304
145630.248 01 0.828
145630.248 02 2.140
145630.248 03 0.304
145630.328 01 0.828
145630.328 02 2.140
145630.328 03 0.304
145630.408 01 0.828
145630.408 02 2.568
145630.408 03 0.304
145630.488 01 0.828
145630.488 02 2.568
145630.488 03 0.304
145630.568 01 0.828
145630.568 02 1.712
145630.568 03 0.304
145630.648 01 0.828
145630.648 02 2.568
145630.648 03 0.304
145630.729 01 0.828
145630.729 02 2.568
145630.729 03 0.304
145630.809 01 0.828
145630.809 02 2.140
145630.809 03 0.304
145630.889 01 0.825
145630.889 02 1.712
145630.889 03 0.304
145630.970 01 0.828
145630.970 02 2.140
145630.970 03 0.304
145631.049 01 0.828
145631.050 02 2.140
145631.050 03 0.304
145631.130 01 0.828
145631.130 02 2.568
145631.130 03 0.304
145631.211 01 0.828
145631.211 02 2.140
145631.211 03 0.304
145631.290 01 0.828
145631.291 02 2.140
145631.291 03 0.304
145631.371 01 0.828
145631.371 02 2.140
145631.371 03 0.304
145631.451 01 0.828
145631.451 02 2.140
145631.451 03 0.304
145631.531 01 0.828
145631.531 02 2.568
145631.531 03 0.304
145631.612 01 0.828
145631.612 02 2.140
145631.612 03 0.304
145631.693 01 0.828
145631.693 02 2.140
145631.693 03 0.304
145631.773 01 0.828
145631.773 02 2.140
145631.773 03 0.304
145631.853 01 0.828
145631.853 02 1.712
145631.853 03 0.304
145631.934 01 0.828
145631.934 02 2.140
145631.934 03 0.304
145632.014 01 0.828
145632.014 02 2.140
145632.014 03 0.304
145632.094 01 0.828
145632.095 02 2.140
145632.095 03 0.304
145632.175 01 0.828
145632.175 02 2.140
145632.175 03 0.304
145632.255 01 0.828
145632.255 02 2.568
145632.255 03 0.304
145632.335 01 0.828
145632.335 02 2.140
145632.336 03 0.304
145632.416 01 0.828
145632.416 02 2.140
145632.416 03 0.304
145632.496 01 0.828
145632.496 02 2.140
145632.496 03 0.304
145632.576 01 0.828
145632.576 02 2.140
145632.576 03 0.304
145632.655 01 0.828
145632.655 02 2.140
145632.655 03 0.304
145632.736 01 0.828
145632.736 02 2.568
145632.736 03 0.304
145632.816 01 0.828
145632.816 02 2.996
145632.816 03 0.304
145632.896 01 0.828
145632.896 02 2.140
145632.896 03 0.304
145632.976 01 0.828
145632.977 02 2.140
145632.977 03 0.304
