Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
130620.805 02 2.140
130620.805 03 0.000
130620.886 01 1.065
130620.886 02 2.140
130620.886 03 0.000
130620.966 01 1.065
130620.966 02 1.712
130620.966 03 0.000
130621.046 01 1.065
130621.046 02 2.568
130621.046 03 0.152
130621.126 01 1.065
130621.127 02 2.140
130621.127 03 0.000
130621.206 01 1.068
130621.207 02 2.140
130621.207 03 0.000
130621.287 01 1.065
130621.287 02 2.140
130621.287 03 0.000
130621.367 01 1.065
130621.367 02 2.568
130621.367 03 0.000
130621.447 01 1.065
130621.447 02 2.996
130621.447 03 0.152
130621.527 01 1.065
130621.527 02 2.568
130621.527 03 0.000
130621.607 01 1.065
130621.607 02 2.996
130621.607 03 0.000
130621.687 01 1.065
130621.687 02 2.568
130621.687 03 0.152
130621.767 01 1.065
130621.767 02 2.140
130621.767 03 0.000
130621.847 01 1.068
130621.847 02 2.140
130621.847 03 0.000
130621.926 01 1.068
130621.927 02 1.712
130621.927 03 0.152
130622.007 01 1.065
130622.007 02 2.140
130622.007 03 0.000
130622.087 01 1.065
130622.088 02 2.140
130622.088 03 0.152
130622.167 01 1.065
130622.167 02 2.568
130622.167 03 0.000
130622.248 01 1.068
130622.248 02 2.996
130622.248 03 0.000
130622.328 01 1.065
130622.328 02 3.424
130622.328 03 0.000
130622.408 01 1.065
130622.408 02 2.996
130622.408 03 0.000
130622.489 01 1.068
130622.489 02 2.996
130622.489 03 0.152
130622.569 01 1.065
130622.569 02 2.568
130622.569 03 0.000
130622.649 01 1.065
130622.649 02 2.568
130622.649 03 0.000
130622.729 01 1.065
130622.729 02 2.140
130622.729 03 0.000
130622.809 01 1.068
130622.809 02 2.140
130622.809 03 0.000
130622.889 01 1.065
130622.889 02 2.140
130622.889 03 0.000
130622.969 01 1.065
130622.969 02 2.140
130622.969 03 0.000
130623.049 01 1.068
130623.049 02 2.140
130623.049 03 0.000
130623.129 01 1.065
130623.129 02 2.568
130623.129 03 0.000
130623.209 01 1.065
130623.209 02 2.568
130623.209 03 0.000
130623.289 01 1.065
130623.289 02 2.996
130623.290 03 0.000
130623.370 01 1.065
130623.370 02 2.568
130623.370 03 0.000
130623.450 01 1.068
130623.450 02 2.140
130623.451 03 0.000
130623.530 01 1.065
130623.530 02 2.568
130623.530 03 0.000
130623.611 01 1.065
130623.611 02 2.140
130623.611 03 0.000
130623.690 01 1.065
130623.691 02 2.568
130623.691 03 0.000
130623.771 01 1.065
130623.771 02 2.568
130623.771 03 0.000
130623.851 01 1.065
130623.851 02 2.568
130623.851 03 0.000
130623.931 01 1.068
130623.931 02 2.568
130623.931 03 0.000
130624.012 01 1.065
130624.012 02 2.996
130624.012 03 0.000
130624.092 01 1.065
130624.092 02 3.424
130624.092 03 0.000
130624.172 01 1.068
130624.172 02 3.424
130624.172 03 0.000
130624.252 01 1.065
130624.252 02 2.996
130624.252 03 0.000
130624.332 01 1.065
130624.332 02 2.568
130624.332 03 0.000
130624.412 01 1.065
130624.412 02 2.140
130624.412 03 0.000
130624.492 01 1.065
130624.492 02 2.140
130624.493 03 0.000
130624.573 01 1.065
130624.573 02 1.712
130624.573 03 0.000
130624.653 01 1.065
130624.653 02 1.712
130624.653 03 0.000
130624.733 01 1.065
130624.733 02 2.140
130624.733 03 0.000
130624.813 01 1.068
130624.814 02 1.712
130624.814 03 0.000
130624.894 01 1.065
130624.894 02 1.712
130624.894 03 0.000
130624.974 01 1.065
130624.980 02 1.712
130624.980 03 0.000
130625.055 01 1.065
130625.055 02 4.708
130625.055 03 0.000
130625.072 05 -380
130625.135 01 1.068
130625.135 02 4.280
130625.135 03 0.000
130625.153 05 -382
130625.215 01 1.068
130625.215 02 3.852
130625.215 03 0.000
130625.295 01 1.062
130625.295 02 74.900
130625.295 03 0.152
130625.376 01 1.059
130625.376 02 88.168
130625.376 03 -0.304
130625.456 01 1.056
130625.456 02 101.008
130625.456 03 0.456
130625.536 01 1.053
130625.536 02 115.560
130625.536 03 0.152
130625.617 01 1.050
130625.617 02 112.992
130625.617 03 -0.152
130625.697 01 1.047
130625.697 02 114.704
130625.697 03 0.152
130625.777 01 1.041
130625.778 02 120.696
130625.778 03 0.152
