Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082821.080 02 3.424
082821.080 03 0.152
082821.161 01 1.089
082821.161 02 2.996
082821.161 03 0.152
082821.241 01 1.089
082821.241 02 2.996
082821.241 03 0.000
082821.321 01 1.092
082821.321 02 2.996
082821.321 03 0.304
082821.402 01 1.089
082821.402 02 2.996
082821.402 03 0.608
082821.481 01 1.092
082821.481 02 3.424
082821.481 03 0.912
082821.561 01 1.092
082821.561 02 2.996
082821.561 03 0.608
082821.641 01 1.089
082821.641 02 2.568
082821.641 03 0.304
082821.721 01 1.089
082821.721 02 3.424
082821.721 03 0.152
082821.802 01 1.089
082821.802 02 3.424
082821.802 03 0.304
082821.882 01 1.092
082821.882 02 3.424
082821.882 03 0.304
082821.962 01 1.089
082821.962 02 2.996
082821.962 03 0.456
082822.042 01 1.092
082822.042 02 3.424
082822.042 03 0.152
082822.123 01 1.089
082822.123 02 3.424
082822.123 03 0.152
082822.203 01 1.089
082822.203 02 2.996
082822.203 03 0.152
082822.283 01 1.089
082822.284 02 3.852
082822.284 03 0.304
082822.364 01 1.089
082822.364 02 3.424
082822.364 03 0.456
082822.444 01 1.092
082822.444 02 3.424
082822.444 03 0.608
082822.524 01 1.089
082822.524 02 3.424
082822.524 03 0.760
082822.605 01 1.092
082822.605 02 2.568
082822.605 03 0.760
082822.685 01 1.089
082822.685 02 3.424
082822.685 03 0.304
082822.765 01 1.089
082822.765 02 3.424
082822.765 03 -0.152
082822.845 01 1.089
082822.845 02 3.424
082822.845 03 -0.304
082822.925 01 1.089
082822.925 02 3.424
082822.925 03 -0.304
082823.006 01 1.089
082823.006 02 3.424
082823.006 03 0.152
082823.087 01 1.089
082823.087 02 3.424
082823.087 03 -0.152
082823.167 01 1.089
082823.167 02 2.996
082823.167 03 0.456
082823.246 01 1.089
082823.247 02 3.852
082823.247 03 0.912
082823.327 01 1.089
082823.327 02 2.996
082823.327 03 0.608
082823.408 01 1.089
082823.408 02 3.424
082823.408 03 -0.152
082823.487 01 1.092
082823.488 02 2.996
082823.488 03 -0.456
082823.567 01 1.089
082823.567 02 3.424
082823.567 03 -0.456
082823.647 01 1.092
082823.647 02 2.996
082823.647 03 0.456
082823.727 01 1.089
082823.727 02 2.996
082823.727 03 1.520
082823.808 01 1.089
082823.808 02 2.996
082823.808 03 1.672
082823.887 01 1.089
082823.887 02 2.996
082823.887 03 0.912
082823.967 01 1.089
082823.967 02 2.996
082823.967 03 0.608
082824.047 01 1.089
082824.047 02 2.996
082824.047 03 0.608
